OID_,lat,Long,price,Rent,Capacity,district
0,39.77284300000,116.55278900000,79648,1114,28,12
1,39.86493800000,116.30412500000,95747,1340,28,4
2,39.89783100000,116.61342100000,47755,668,23,9
3,40.05058400000,116.11697500000,30712,429,28,6
4,40.08054100000,116.37679800000,74404,1041,23,11
5,39.80027100000,116.12903000000,44539,624,60,4
6,39.69775000000,116.44741200000,26716,374,23,12
7,40.34748700000,116.63271600000,35503,496,4,13
8,39.66620600000,116.32472300000,30388,426,6,12
9,39.69204000000,115.97230300000,23231,325,23,8
10,40.08158300000,116.57655500000,40351,565,28,3
11,40.35002500000,116.29828400000,21430,300,23,11
12,39.94394600000,116.45468200000,158836,2223,23,3
13,40.06144000000,116.56668300000,41249,577,4,10
14,40.09557500000,116.27484100000,33341,466,18,11
15,39.95979700000,116.31325400000,117840,1650,28,6
16,39.66858500000,116.18674300000,54090,757,27,8
17,40.35722400000,116.74836400000,17708,248,6,15
18,40.35372800000,116.23240700000,59591,834,22,11
19,39.79689000000,116.57529500000,39031,546,56,9
20,40.14790300000,116.78592200000,29212,409,28,10
21,39.76848300000,116.32195500000,66001,924,27,12
22,39.93283800000,116.15504000000,49904,698,28,5
23,39.78945400000,116.83626000000,26650,373,14,9
24,39.92963100000,116.41101800000,137882,1930,55,1
25,40.22673900000,116.52965700000,54400,762,18,10
26,39.85790400000,116.36485700000,66436,930,14,4
27,40.61178400000,116.47969000000,25843,362,23,16
28,39.63355500000,115.60057700000,32831,459,6,8
29,39.99055600000,116.74283500000,37021,518,4,9
30,40.21882700000,116.10631000000,26144,366,21,11
31,40.62886600000,117.22382000000,43922,614,16,15
32,40.00054900000,116.21357000000,84694,1185,23,6
33,40.46872300000,115.98404100000,27590,386,17,16
34,39.87516300000,116.48385000000,103078,1443,18,3
35,40.24952100000,116.35598600000,28037,392,23,11
36,39.95252300000,115.90510200000,14778,206,18,7
37,39.82279900000,116.20399600000,33630,470,18,4
38,40.15778500000,116.70726900000,32942,460,28,10
39,39.74148100000,116.29905600000,49396,691,17,12
40,39.63037000000,116.61191500000,29245,409,21,12
41,39.88127700000,116.26546800000,65339,914,1,4
42,39.63615400000,116.12625500000,16770,235,4,8
43,39.99699500000,116.24174400000,110323,1544,21,6
44,40.40903200000,116.82826400000,27154,380,6,15
45,40.11416100000,117.06674400000,30893,432,6,14
46,39.71188800000,116.09273900000,23736,332,14,8
47,40.10487100000,116.45015300000,48745,682,56,11
48,40.10100400000,116.95747500000,22175,310,6,10
49,40.41503500000,116.08054100000,24172,338,21,16
50,39.92563300000,116.51190700000,104408,1461,18,3
51,39.72388000000,116.41326300000,47128,660,17,12
52,40.65029100000,116.24787900000,21430,300,22,16
53,39.90503200000,116.25459500000,84943,1189,14,6
54,40.11539500000,115.97609200000,18872,264,14,11
55,40.64027800000,116.77447100000,18763,262,22,15
56,39.79287400000,116.46677800000,62317,872,14,12
57,39.97725400000,116.35103500000,134321,1880,18,6
58,40.00301000000,116.67748000000,57982,811,6,9
59,39.66448800000,116.05622700000,16270,228,14,8
60,39.89023600000,115.63519600000,15468,216,23,7
61,40.10195900000,116.16938600000,52151,729,6,6
62,39.88950000000,116.66283400000,51678,723,14,9
63,39.88615200000,116.44633200000,65443,916,4,3
64,39.92831800000,116.39903200000,242074,3388,45,1
65,40.45139300000,116.42694000000,21430,300,14,13
66,40.20616300000,116.16127200000,40560,567,1,11
67,39.86227800000,116.38361800000,67177,940,14,4
68,40.05591600000,116.30184600000,117652,1647,18,6
69,40.53702300000,116.22260100000,21430,300,26,16
70,39.72458700000,116.15954300000,25652,358,28,8
71,39.73454300000,116.68390500000,30665,429,18,9
72,39.89267200000,116.33084700000,178213,2494,6,2
73,39.54082800000,116.42132200000,36887,516,4,12
74,39.93114000000,116.44131300000,98803,1383,1,3
75,40.14068700000,116.12790900000,39634,554,20,11
76,39.78086400000,116.05510300000,25186,352,6,8
77,39.99668100000,116.39183300000,171452,2400,28,3
78,40.11884500000,116.60657800000,16684,234,59,10
79,39.84366300000,116.72667800000,41310,578,14,9
80,40.00308300000,116.54874300000,123116,1723,18,3
81,39.88143400000,116.55591900000,48494,679,14,3
82,40.18908400000,116.37922700000,63667,891,18,11
83,39.76290400000,115.51397000000,15468,216,3,8
84,39.71956000000,116.30947300000,40562,567,23,12
85,40.10538100000,116.20705400000,85424,1196,18,6
86,39.92869900000,116.46666800000,80950,1132,5,3
87,39.51949000000,116.32168500000,31934,447,18,12
88,39.84073100000,116.40460100000,61242,856,18,4
89,40.35638500000,116.87021600000,28784,403,17,15
90,40.05929700000,116.41464800000,45116,631,18,11
91,39.74302500000,116.25129900000,48336,676,23,12
92,39.80465400000,115.93055600000,21053,295,18,8
